Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2021,December,1 North West Metro,Wyndham,"15,918","5,371.9"
2021,December,1 North West Metro,Yarra,"12,150","13,275.6"
2021,December,1 North West Metro,Total,"177,995","8,039.9"
2021,December,2 Eastern,Alpine,553,"4,200.2"
2021,December,2 Eastern,Bass Coast,"3,144","7,729.6"
2021,December,2 Eastern,Baw Baw,"4,432","7,692.0"
2021,December,2 Eastern,Benalla,"1,423","9,857.3"
2021,December,2 Eastern,Boroondara,"7,448","4,386.6"
2021,December,2 Eastern,East Gippsland,"4,920","10,149.1"
2021,December,2 Eastern,Greater Shepparton,"9,102","13,282.5"
2021,December,2 Eastern,Indigo,612,"3,547.6"
2021,December,2 Eastern,Knox,"10,043","6,258.1"
2021,December,2 Eastern,Latrobe,"11,339","14,703.6"
2021,December,2 Eastern,Manningham,"4,012","3,188.7"
2021,December,2 Eastern,Mansfield,489,"4,831.5"
2021,December,2 Eastern,Maroondah,"7,454","6,421.7"
2021,December,2 Eastern,Mitchell,"3,674","7,390.6"
2021,December,2 Eastern,Moira,"2,349","7,735.4"
2021,December,2 Eastern,Monash,"11,482","5,952.5"
2021,December,2 Eastern,Murrindindi,808,"5,337.2"
2021,December,2 Eastern,South Gippsland,"1,698","5,587.7"
2021,December,2 Eastern,Strathbogie,649,"5,709.0"
2021,December,2 Eastern,Towong,194,"3,136.1"
2021,December,2 Eastern,Wangaratta,"2,338","7,858.6"
2021,December,2 Eastern,Wellington,"4,386","9,646.1"
2021,December,2 Eastern,Whitehorse,"7,603","4,444.2"
2021,December,2 Eastern,Wodonga,"3,439","7,959.4"
2021,December,2 Eastern,Yarra Ranges,"7,610","4,834.2"
2021,December,2 Eastern,Total,"111,201","6,531.5"
2021,December,3 Southern Metro,Bayside,"4,298","4,200.2"
2021,December,3 Southern Metro,Cardinia,"6,420","5,369.1"
2021,December,3 Southern Metro,Casey,"19,786","5,354.0"
2021,December,3 Southern Metro,Frankston,"11,748","8,342.3"
2021,December,3 Southern Metro,Glen Eira,"6,840","4,540.7"
2021,December,3 Southern Metro,Greater Dandenong,"16,551","10,337.9"
2021,December,3 Southern Metro,Kingston,"9,603","6,018.7"
2021,December,3 Southern Metro,Mornington Peninsula,"9,011","5,286.9"
2021,December,3 Southern Metro,Port Phillip,"12,329","11,919.2"
2021,December,3 Southern Metro,Stonnington,"10,602","9,984.0"
2021,December,3 Southern Metro,Total,"107,188","6,772.7"
2021,December,4 Western,Ararat,"1,591","13,452.3"
2021,December,4 Western,Ballarat,"10,139","8,932.7"
2021,December,4 Western,Buloke,286,"4,664.1"
2021,December,4 Western,Campaspe,"3,285","8,520.1"
2021,December,4 Western,Central Goldfields,"1,084","8,096.8"
2021,December,4 Western,Colac-Otway,"1,551","6,952.4"
2021,December,4 Western,Corangamite,868,"5,414.8"
2021,December,4 Western,Gannawarra,793,"7,470.6"
2021,December,4 Western,Glenelg,"1,756","8,754.6"
2021,December,4 Western,Golden Plains,604,"2,426.5"
2021,December,4 Western,Greater Bendigo,"10,464","8,628.5"
2021,December,4 Western,Greater Geelong,"19,999","7,381.6"
2021,December,4 Western,Hepburn,555,"3,366.7"
2021,December,4 Western,Hindmarsh,452,"7,991.5"
2021,December,4 Western,Horsham,"2,424","11,896.3"
2021,December,4 Western,Loddon,539,"6,997.3"
2021,December,4 Western,Macedon Ranges,"2,023","3,920.6"
2021,December,4 Western,Mildura,"6,594","11,575.3"
2021,December,4 Western,Moorabool,"2,120","5,592.2"
2021,December,4 Western,Mount Alexander,924,"4,593.8"
2021,December,4 Western,Moyne,706,"4,081.9"
2021,December,4 Western,Northern Grampians,"1,094","9,204.1"
2021,December,4 Western,Pyrenees,456,"5,985.0"
2021,December,4 Western,Queenscliffe,87,"2,688.5"
2021,December,4 Western,Southern Grampians,"1,035","6,275.8"
2021,December,4 Western,Surf Coast,"1,364","3,623.0"
2021,December,4 Western,Swan Hill,"2,483","11,613.1"
2021,December,4 Western,Warrnambool,"3,127","8,825.1"
2021,December,4 Western,West Wimmera,216,"5,429.9"
2021,December,4 Western,Yarriambiack,375,"5,760.4"
2021,December,4 Western,Total,"78,994","7,539.0"
2021,December,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,"2,208",
2021,December,Justice Institutions and Immigration Facilities,Total,"2,208",
2021,December,Unincorporated Vic,Unincorporated Vic,87,
2021,December,Unincorporated Vic,Total,87,
2020,December,1 North West Metro,Banyule,"9,456","7,257.4"
2020,December,1 North West Metro,Brimbank,"20,216","9,899.5"
2020,December,1 North West Metro,Darebin,"15,737","10,020.0"
2020,December,1 North West Metro,Hobsons Bay,"5,825","6,119.1"
2020,December,1 North West Metro,Hume,"21,992","9,026.3"
2020,December,1 North West Metro,Maribyrnong,"9,156","10,239.5"
2020,December,1 North West Metro,Melbourne,"36,502","21,397.6"
2020,December,1 North West Metro,Melton,"14,353","8,269.5"
2020,December,1 North West Metro,Merri-bek,"13,768","7,647.6"
2020,December,1 North West Metro,Moonee Valley,"8,403","6,627.7"
2020,December,1 North West Metro,Nillumbik,"2,286","3,554.0"
2020,December,1 North West Metro,Whittlesea,"16,792","7,268.0"
2020,December,1 North West Metro,Wyndham,"18,263","6,356.9"
2020,December,1 North West Metro,Yarra,"14,202","14,692.4"
2020,December,1 North West Metro,Total,"206,951","9,197.4"
2020,December,2 Eastern,Alpine,582,"4,458.4"
2020,December,2 Eastern,Bass Coast,"2,893","7,427.5"
2020,December,2 Eastern,Baw Baw,"5,083","9,117.0"
2020,December,2 Eastern,Benalla,"1,409","9,797.0"
2020,December,2 Eastern,Boroondara,"8,012","4,504.3"
2020,December,2 Eastern,East Gippsland,"5,147","10,751.1"
2020,December,2 Eastern,Greater Shepparton,"9,160","13,377.3"
2020,December,2 Eastern,Indigo,575,"3,359.6"
2020,December,2 Eastern,Knox,"11,986","7,342.5"
2020,December,2 Eastern,Latrobe,"13,628","17,764.7"
2020,December,2 Eastern,Manningham,"4,837","3,779.3"
2020,December,2 Eastern,Mansfield,512,"5,228.8"
2020,December,2 Eastern,Maroondah,"8,010","6,771.2"
2020,December,2 Eastern,Mitchell,"5,335","11,097.7"
2020,December,2 Eastern,Moira,"2,270","7,492.2"
2020,December,2 Eastern,Monash,"12,826","6,387.7"
2020,December,2 Eastern,Murrindindi,895,"6,018.0"
2020,December,2 Eastern,South Gippsland,"1,743","5,757.8"
2020,December,2 Eastern,Strathbogie,617,"5,529.7"
2020,December,2 Eastern,Towong,219,"3,549.4"
2020,December,2 Eastern,Wangaratta,"3,083","10,444.8"
2020,December,2 Eastern,Wellington,"4,843","10,737.2"
2020,December,2 Eastern,Whitehorse,"9,346","5,286.4"
2020,December,2 Eastern,Wodonga,"3,568","8,362.6"
2020,December,2 Eastern,Yarra Ranges,"8,759","5,513.1"
2020,December,2 Eastern,Total,"125,338","7,269.8"
2020,December,3 Southern Metro,Bayside,"5,586","5,319.1"
2020,December,3 Southern Metro,Cardinia,"7,602","6,525.0"
2020,December,3 Southern Metro,Casey,"23,188","6,370.9"
2020,December,3 Southern Metro,Frankston,"14,784","10,397.3"
2020,December,3 Southern Metro,Glen Eira,"7,867","5,086.8"
2020,December,3 Southern Metro,Greater Dandenong,"19,351","11,682.0"
2020,December,3 Southern Metro,Kingston,"11,631","7,127.0"
2020,December,3 Southern Metro,Mornington Peninsula,"11,331","6,658.0"
2020,December,3 Southern Metro,Port Phillip,"13,574","12,275.9"
2020,December,3 Southern Metro,Stonnington,"11,589","10,291.3"
2020,December,3 Southern Metro,Total,"126,503","7,884.0"
2020,December,4 Western,Ararat,"1,564","13,123.0"
2020,December,4 Western,Ballarat,"9,764","8,745.6"
2020,December,4 Western,Buloke,498,"8,089.7"
2020,December,4 Western,Campaspe,"3,785","9,862.2"
2020,December,4 Western,Central Goldfields,"1,163","8,741.7"
2020,December,4 Western,Colac-Otway,"1,810","8,126.1"
2020,December,4 Western,Corangamite,867,"5,382.4"
2020,December,4 Western,Gannawarra,961,"9,087.5"
2020,December,4 Western,Glenelg,"1,679","8,372.0"
2020,December,4 Western,Golden Plains,588,"2,413.2"
2020,December,4 Western,Greater Bendigo,"11,062","9,221.6"
2020,December,4 Western,Greater Geelong,"22,961","8,630.8"
2020,December,4 Western,Hepburn,713,"4,363.8"
2020,December,4 Western,Hindmarsh,590,"10,409.3"
2020,December,4 Western,Horsham,"2,479","12,160.9"
2020,December,4 Western,Loddon,532,"6,947.9"
2020,December,4 Western,Macedon Ranges,"2,734","5,371.9"
2020,December,4 Western,Mildura,"6,572","11,462.5"
2020,December,4 Western,Moorabool,"2,690","7,281.3"
2020,December,4 Western,Mount Alexander,952,"4,774.6"
2020,December,4 Western,Moyne,672,"3,931.9"
2020,December,4 Western,Northern Grampians,"1,192","10,097.4"
2020,December,4 Western,Pyrenees,515,"6,826.6"
2020,December,4 Western,Queenscliffe,122,"3,941.8"
2020,December,4 Western,Southern Grampians,"1,160","7,027.7"
2020,December,4 Western,Surf Coast,"1,514","4,225.9"
2020,December,4 Western,Swan Hill,"2,491","11,586.6"
2020,December,4 Western,Warrnambool,"3,335","9,416.1"
2020,December,4 Western,West Wimmera,169,"4,231.3"
2020,December,4 Western,Yarriambiack,505,"7,604.3"
2020,December,4 Western,Total,"85,639","8,271.5"
2020,December,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,"3,016",
2020,December,Justice Institutions and Immigration Facilities,Total,"3,016",
2020,December,Unincorporated Vic,Unincorporated Vic,56,
2020,December,Unincorporated Vic,Total,56,
2019,December,1 North West Metro,Banyule,"9,514","7,284.4"
2019,December,1 North West Metro,Brimbank,"19,791","9,571.5"
2019,December,1 North West Metro,Darebin,"14,523","9,232.8"
2019,December,1 North West Metro,Hobsons Bay,"6,225","6,496.7"
2019,December,1 North West Metro,Hume,"21,416","9,098.9"
2019,December,1 North West Metro,Maribyrnong,"8,901","9,949.7"
2019,December,1 North West Metro,Melbourne,"36,346","21,512.6"
2019,December,1 North West Metro,Melton,"12,612","7,618.9"
2019,December,1 North West Metro,Merri-bek,"14,368","8,012.2"
2019,December,1 North West Metro,Moonee Valley,"8,280","6,550.3"
2019,December,1 North West Metro,Nillumbik,"2,233","3,463.9"
2019,December,1 North West Metro,Whittlesea,"16,472","7,286.2"
2019,December,1 North West Metro,Wyndham,"16,755","6,132.8"
2019,December,1 North West Metro,Yarra,"13,504","13,987.4"
2019,December,1 North West Metro,Total,"200,940","9,068.4"
2019,December,2 Eastern,Alpine,570,"4,417.2"
2019,December,2 Eastern,Bass Coast,"2,498","6,672.0"
2019,December,2 Eastern,Baw Baw,"4,761","8,809.0"
2019,December,2 Eastern,Benalla,"1,309","9,194.4"
2019,December,2 Eastern,Boroondara,"8,139","4,530.1"
2019,December,2 Eastern,East Gippsland,"4,895","10,313.1"
2019,December,2 Eastern,Greater Shepparton,"8,836","13,045.3"
2019,December,2 Eastern,Indigo,598,"3,543.5"
2019,December,2 Eastern,Knox,"11,923","7,300.9"
2019,December,2 Eastern,Latrobe,"14,004","18,397.0"
2019,December,2 Eastern,Manningham,"5,138","4,049.7"
2019,December,2 Eastern,Mansfield,472,"5,012.2"
2019,December,2 Eastern,Maroondah,"8,163","6,919.8"
2019,December,2 Eastern,Mitchell,"4,819","10,391.8"
2019,December,2 Eastern,Moira,"2,541","8,442.1"
2019,December,2 Eastern,Monash,"11,689","5,851.5"
2019,December,2 Eastern,Murrindindi,809,"5,489.6"
2019,December,2 Eastern,South Gippsland,"1,729","5,778.2"
2019,December,2 Eastern,Strathbogie,629,"5,766.9"
2019,December,2 Eastern,Towong,214,"3,484.2"
2019,December,2 Eastern,Wangaratta,"2,521","8,563.5"
2019,December,2 Eastern,Wellington,"4,589","10,271.7"
2019,December,2 Eastern,Whitehorse,"9,222","5,243.9"
2019,December,2 Eastern,Wodonga,"3,745","8,898.9"
2019,December,2 Eastern,Yarra Ranges,"9,178","5,781.6"
2019,December,2 Eastern,Total,"122,991","7,180.7"
