Year,LGAID,Offence Count,"Rate per 100,000 population"
2018,12,14462,5627.0
2018,13,13683,14327.1
2018,14,579,4515.7
2018,15,2211,6127.5
2018,16,4491,8562.9
2018,17,1191,8412.2
2018,18,6942,3869.9
2018,19,4507,9613.7
2018,20,8744,13084.7
2018,21,451,2714.7
2018,22,10806,6651.5
2018,23,14603,19319.7
2018,24,4362,3487.1
2018,25,480,5244.2
2018,26,8103,6918.2
2018,27,4314,9682.2
2018,28,2115,7071.2
2018,29,10332,5217.9
2018,30,715,4910.4
2018,31,1445,4881.1
2018,32,604,5627.0
2018,33,212,3475.4
2018,34,2388,8158.8
2018,35,4004,9052.1
2018,36,8193,4697.0
2018,37,3207,7720.1
2018,38,7658,4852.4
2018,39,4686,4478.9
2018,40,6048,5655.2
2018,41,21021,6217.6
2018,42,14871,10507.2
2018,43,6470,4245.7
2018,44,18291,11092.5
2018,45,11005,6806.4
2018,46,10797,6482.2
2018,47,13097,11827.5
2018,48,10782,9513.0
2018,49,1349,11427.4
2018,50,10865,10096.8
2018,51,236,3797.9
2018,52,3807,10032.1
2018,53,1294,9707.4
2018,54,1596,7313.4
2018,55,715,4405.2
2018,56,750,7074.8
2018,57,1343,6751.1
2018,58,684,2949.4
2018,59,10549,9079.4
2018,60,20766,8202.2
2018,61,740,4653.5
2018,62,351,6167.6
2018,63,3021,15056.8
2018,64,490,6445.7
2018,65,2331,4728.0
2018,66,7328,13049.8
2018,67,2440,7039.4
2018,68,879,4507.7
2018,69,530,3136.7
2018,70,988,8492.4
2018,71,501,6837.7
2018,72,303,10257.3
2018,73,1562,9588.1
2018,74,1185,3618.3
2018,75,2526,11892.7
2018,76,3950,11343.1
2018,77,166,4187.7
2018,78,503,7509.7
2018,79,2833,
2018,80,143,
2017,0,9655,7504.3
2017,1,17143,8317.2
2017,2,14791,9449.6
2017,3,6070,6420.4
2017,4,20216,9348.5
2017,5,8022,9103.5
2017,6,36482,23392.5
2017,7,10631,7148.8
2017,8,12744,7277.7
2017,9,8605,6921.6
2017,10,2325,3609.5
2017,11,15580,7265.9
2017,12,14229,5890.1
2017,13,13281,14053.5
2017,14,454,3578.5
2017,15,2574,7407.6
2017,16,3751,7371.8
2017,17,1294,9210.6
2017,18,7313,4093.5
2017,19,3964,8576.6
2017,20,8046,12199.2
2017,21,491,2995.7
2017,22,11278,6982.2
2017,23,13336,17760.5
2017,24,4903,3950.0
2017,25,664,7463.2
2017,26,8288,7131.1
2017,27,4401,10224.2
2017,28,1924,6474.4
2017,29,11115,5680.6
2017,30,717,5017.5
2017,31,1442,4911.3
2017,32,567,5383.6
2017,33,217,3578.5
2017,34,2346,8103.3
2017,35,3666,8356.1
2017,36,8300,4815.1
2017,37,3296,8071.1
2017,38,8209,5238.8
2017,39,4761,4592.7
2017,40,5816,5687.6
2017,41,21223,6531.2
2017,42,14276,10153.6
2017,43,6821,4526.2
2017,44,18093,11105.2
2017,45,10709,6687.3
2017,46,10915,6647.9
2017,47,12509,11421.3
2017,48,9880,8810.9
2017,49,1255,10639.2
2017,50,11583,10973.8
2017,51,199,3198.8
2017,52,3377,8934.1
2017,53,1452,11000.0
2017,54,1742,8066.7
2017,55,1027,6308.7
2017,56,569,5366.9
2017,57,1639,8276.9
2017,58,688,3042.5
2017,59,9716,8503.0
2017,60,22946,9313.1
2017,61,886,5640.4
2017,62,385,6721.4
2017,63,2393,11978.8
2017,64,347,4584.5
2017,65,2128,4395.3
2017,66,6496,11718.7
2017,67,2146,6370.0
2017,68,1007,5218.4
2017,69,622,3707.0
2017,70,1054,9093.3
2017,71,527,7194.5
2017,72,133,4550.1
2017,73,1279,7891.7
2017,74,1166,3695.1
2017,75,2414,11457.6
2017,76,3482,10086.9
2017,77,188,4757.1
2017,78,478,7125.8
2017,79,2539,
2017,80,136,
2016,0,10073,7903.7
2016,1,19143,9375.1
2016,2,16853,10864.1
2016,3,6697,7166.8
2016,4,23644,11420.0
2016,5,9139,10511.6
2016,6,37886,25932.3
2016,7,12053,8522.8
2016,8,14866,8628.3
2016,9,9618,7827.7
2016,10,3174,4945.9
2016,11,16666,8049.0
2016,12,15380,6775.1
2016,13,14004,15075.2
2016,14,387,3076.8
2016,15,2948,8809.5
2016,16,4143,8404.3
2016,17,1604,11471.9
2016,18,8397,4736.7
2016,19,4158,9118.4
2016,20,8399,12907.2
2016,21,396,2449.7
2016,22,12132,7565.8
2016,23,14480,19404.5
2016,24,5014,4090.7
2016,25,618,7124.7
2016,26,9199,8013.1
2016,27,4710,11269.3
2016,28,1944,6593.0
2016,29,12535,6507.5
2016,30,715,5088.2
2016,31,1503,5161.0
2016,32,678,6546.3
2016,33,243,4019.2
2016,34,2594,9072.5
2016,35,4747,10905.1
2016,36,7988,4708.8
2016,37,3310,8254.4
2016,38,8917,5744.5
2016,39,5395,5242.3
2016,40,7229,7408.8
2016,41,24076,7697.2
2016,42,16908,12120.3
2016,43,7521,5061.8
2016,44,20635,12879.0
2016,45,11568,7278.2
2016,46,12006,7432.8
2016,47,13601,12520.8
2016,48,11590,10441.2
2016,49,1179,10038.3
2016,50,12089,11680.2
2016,51,230,3660.1
2016,52,3850,10240.7
2016,53,1507,11515.2
2016,54,1996,9343.7
2016,55,959,5904.1
2016,56,612,5791.6
2016,57,1673,8467.0
2016,58,865,3929.0
2016,59,10853,9667.1
2016,60,22962,9586.3
2016,61,917,5906.6
2016,62,370,6397.0
2016,63,2824,14202.4
2016,64,478,6324.4
2016,65,2456,5172.7
2016,66,6518,11925.1
2016,67,2534,7755.9
2016,68,1254,6566.5
2016,69,646,3859.7
2016,70,1346,11633.5
2016,71,561,7668.1
2016,72,143,4882.2
2016,73,1350,8373.1
2016,74,1352,4437.9
2016,75,2224,10643.2
2016,76,3239,9459.1
2016,77,187,4749.8
2016,78,440,6525.3
2016,79,1681,
2016,80,137,
2015,0,9226,7317.1
2015,1,19228,9572.8
2015,2,15339,10093.2
2015,3,6897,7523.4
2015,4,20491,10339.8
2015,5,8678,10235.5
2015,6,34416,25144.7
2015,7,11011,8161.4
2015,8,14039,8363.0
2015,9,9621,8002.1
2015,10,3022,4746.0
2015,11,13731,6975.5
2015,12,14315,6695.0
2015,13,12954,14405.7
2015,14,489,3934.3
2015,15,2786,8552.3
2015,16,3771,7883.0
2015,17,1150,8259.7
2015,18,7457,4267.2
2015,19,4193,9345.2
2015,20,7650,11862.5
2015,21,511,3209.4
2015,22,10121,6377.4
2015,23,13270,17868.2
2015,24,4382,3627.9
2015,25,414,4853.5
2015,26,7779,6882.7
2015,27,4118,10227.5
2015,28,1537,5247.9
2015,29,10097,5337.4
2015,30,647,4672.2
2015,31,1343,4666.3
2015,32,506,4973.0
2015,33,194,3230.6
2015,34,2410,8563.4
2015,35,4396,10182.5
2015,36,8361,5016.2
2015,37,3554,9061.0
2015,38,7909,5156.1
2015,39,4505,4448.6
2015,40,7316,7926.5
2015,41,21029,7020.7
2015,42,14821,10756.2
2015,43,6488,4446.2
2015,44,19478,12481.0
2015,45,11025,7056.3
2015,46,11047,6955.2
2015,47,12432,11686.3
2015,48,10105,9354.1
2015,49,1257,10795.3
2015,50,11307,11142.2
2015,51,222,3520.5
2015,52,3068,8196.9
2015,53,1264,9760.6
2015,54,1677,7899.2
2015,55,681,4184.6
2015,56,587,5571.4
2015,57,1583,8026.6
2015,58,672,3141.9
2015,59,8411,7652.8
2015,60,20848,8950.5
2015,61,825,5380.2
2015,62,219,3770.7
2015,63,3043,15374.9
2015,64,424,5630.1
2015,65,2126,4584.6
2015,66,6166,11385.6
2015,67,2177,6857.1
2015,68,963,5124.0
2015,69,586,3532.0
2015,70,1150,9876.3
2015,71,496,6909.0
2015,72,175,5966.6
2015,73,1149,7109.3
2015,74,1540,5198.3
2015,75,2268,10855.3
2015,76,2798,8228.2
2015,77,157,3950.7
2015,78,459,6724.3
2015,79,1331,
2015,80,117,
2014,0,8932,7139.5
2014,1,17366,8750.0
2014,2,14480,9684.9
