LID,Local Government Area,Postcode,Suburb/Town Name
185,Bass Coast,3979,Glen Alvie
186,Bass Coast,3979,Kernot
187,Bass Coast,3984,Adams Estate
188,Bass Coast,3984,Corinella
189,Bass Coast,3984,Coronet Bay
190,Bass Coast,3984,Grantville
191,Bass Coast,3984,Jam Jerrup
192,Bass Coast,3984,Lang Lang
193,Bass Coast,3984,Pioneer Bay
194,Bass Coast,3984,Tenby Point
195,Bass Coast,3984,The Gurdies
196,Bass Coast,3990,Glen Forbes
197,Bass Coast,3991,Bass
198,Bass Coast,3992,Dalyston
199,Bass Coast,3992,Ryanston
200,Bass Coast,3992,West Creek
201,Bass Coast,3995,Anderson
202,Bass Coast,3995,Archies Creek
203,Bass Coast,3995,Cape Paterson
204,Bass Coast,3995,Harmers Haven
205,Bass Coast,3995,Kilcunda
206,Bass Coast,3995,Lance Creek
207,Bass Coast,3995,North Wonthaggi
208,Bass Coast,3995,South Dudley
209,Bass Coast,3995,St Clair
210,Bass Coast,3995,Wattle Bank
211,Bass Coast,3995,Wonthaggi
212,Bass Coast,3995,Woolamai
213,Bass Coast,3996,Inverloch
214,Bass Coast,3996,Pound Creek
215,Baw Baw,3816,Labertouche
216,Baw Baw,3816,Longwarry
217,Baw Baw,3816,Longwarry North
218,Baw Baw,3816,Modella
219,Baw Baw,3818,Athlone
220,Baw Baw,3818,Drouin
221,Baw Baw,3818,Drouin East
222,Baw Baw,3818,Drouin South
223,Baw Baw,3818,Drouin West
224,Baw Baw,3818,Hallora
225,Baw Baw,3818,Jindivick
226,Baw Baw,3818,Ripplebrook
227,Baw Baw,3820,Bona Vista
228,Baw Baw,3820,Lillico
229,Baw Baw,3820,Warragul
230,Baw Baw,3821,Brandy Creek
231,Baw Baw,3821,Bravington
232,Baw Baw,3821,Buln Buln
233,Baw Baw,3821,Buln Buln East
234,Baw Baw,3821,Crossover
235,Baw Baw,3821,Ellinbank
236,Baw Baw,3821,Ferndale
237,Baw Baw,3821,Lardner
238,Baw Baw,3821,Nilma
239,Baw Baw,3821,Nilma North
240,Baw Baw,3821,Rokeby
241,Baw Baw,3821,Seaview
242,Baw Baw,3821,Shady Creek
243,Baw Baw,3821,Tetoora Road
244,Baw Baw,3821,Torwood
245,Baw Baw,3821,Warragul South
246,Baw Baw,3821,Warragul West
247,Baw Baw,3822,Cloverlea
248,Baw Baw,3822,Darnum
249,Baw Baw,3822,Gainsborough
250,Baw Baw,3823,Allambee
251,Baw Baw,3823,Yarragon
252,Baw Baw,3823,Yarragon South
253,Baw Baw,3824,Childers
254,Baw Baw,3824,Narracan
255,Baw Baw,3824,Thorpdale South
256,Baw Baw,3824,Trafalgar
257,Baw Baw,3824,Trafalgar East
258,Baw Baw,3824,Trafalgar South
259,Baw Baw,3825,Aberfeldy
260,Baw Baw,3825,Amor
261,Baw Baw,3825,Boola
262,Baw Baw,3825,Caringal
263,Baw Baw,3825,Coalville
264,Baw Baw,3825,Erica
265,Baw Baw,3825,Fumina
266,Baw Baw,3825,Fumina South
267,Baw Baw,3825,Hill End
268,Baw Baw,3825,Jacob Creek
269,Baw Baw,3825,Jericho
270,Baw Baw,3825,Moe South
271,Baw Baw,3825,Moondarra
272,Baw Baw,3825,Rawson
273,Baw Baw,3825,Tanjil
274,Baw Baw,3825,Tanjil South
275,Baw Baw,3825,Thomson
276,Baw Baw,3825,Toombon
277,Baw Baw,3825,Walhalla
278,Baw Baw,3825,Westbury
279,Baw Baw,3825,Willow Grove
280,Baw Baw,3825,Yallourn North
281,Baw Baw,3831,Neerim
282,Baw Baw,3831,Neerim East
283,Baw Baw,3831,Neerim South
284,Baw Baw,3832,Nayook
285,Baw Baw,3832,Neerim Junction
286,Baw Baw,3832,Neerim North
287,Baw Baw,3833,Ada
288,Baw Baw,3833,Baw Baw
289,Baw Baw,3833,Gentle Annie
290,Baw Baw,3833,Icy Creek
291,Baw Baw,3833,Loch Valley
292,Baw Baw,3833,Noojee
293,Baw Baw,3833,Piedmont
294,Baw Baw,3833,Tanjil Bren
295,Baw Baw,3833,Toorongo
296,Baw Baw,3833,Vesper
297,Baw Baw,3835,Thorpdale
298,Baw Baw,3856,Toongabbie
299,Baw Baw,3871,Allambee Reserve
300,Baw Baw,3950,Strzelecki
301,Baw Baw,3953,Trida
302,Baw Baw,3981,Heath Hill
303,Baw Baw,3988,Mountain View
304,Baw Baw,3988,Poowong East
305,Bayside,3186,Brighton
306,Bayside,3187,Brighton East
307,Bayside,3188,Brighton East
308,Bayside,3188,Hampton
309,Bayside,3188,Hampton East
310,Bayside,3190,Highett
311,Bayside,3191,Sandringham
312,Bayside,3192,Beaumaris
313,Bayside,3192,Cheltenham
314,Bayside,3192,Highett
315,Bayside,3193,Beaumaris
316,Bayside,3193,Black Rock
317,Benalla,3669,Creek Junction
318,Benalla,3670,Baddaginnie
319,Benalla,3670,Tarnook
320,Benalla,3670,Warrenbayne
321,Benalla,3672,Benalla
322,Benalla,3673,Broken Creek
323,Benalla,3673,Goomalibee
324,Benalla,3673,Lima
325,Benalla,3673,Lima East
326,Benalla,3673,Lima South
327,Benalla,3673,Lurg
328,Benalla,3673,Molyullah
329,Benalla,3673,Moorngag
330,Benalla,3673,Samaria
331,Benalla,3673,Swanpool
332,Benalla,3673,Tatong
333,Benalla,3673,Upper Lurg
334,Benalla,3673,Upper Ryans Creek
335,Benalla,3673,Winton
336,Benalla,3673,Winton North
337,Benalla,3675,Boweya
338,Benalla,3675,Glenrowan
339,Benalla,3675,Glenrowan West
340,Benalla,3675,Mount Bruno
341,Benalla,3675,Taminick
342,Benalla,3723,Archerton
343,Benalla,3723,Bridge Creek
344,Benalla,3725,Boxwood
345,Benalla,3725,Chesney Vale
346,Benalla,3725,Goorambat
347,Benalla,3725,Major Plains
348,Benalla,3725,Stewarton
349,Benalla,3726,Bungeet
350,Benalla,3726,Bungeet West
351,Benalla,3726,Devenish
352,Benalla,3726,Thoona
353,Boroondara,3101,Kew
354,Boroondara,3102,Kew East
355,Boroondara,3103,Balwyn
356,Boroondara,3103,Canterbury
357,Boroondara,3103,Deepdene
358,Boroondara,3104,Balwyn North
359,Boroondara,3122,Hawthorn
360,Boroondara,3123,Hawthorn East
361,Boroondara,3124,Camberwell
362,Boroondara,3126,Canterbury
363,Boroondara,3127,Mont Albert
364,Boroondara,3127,Surrey Hills
365,Boroondara,3146,Glen Iris
366,Boroondara,3147,Ashburton
367,Brimbank,3012,Brooklyn
368,Brimbank,3020,Albion
369,Brimbank,3020,St Albans
370,Brimbank,3020,Sunshine
371,Brimbank,3020,Sunshine North
372,Brimbank,3020,Sunshine West
373,Brimbank,3021,Albanvale
374,Brimbank,3021,Kealba
375,Brimbank,3021,Kings Park
376,Brimbank,3021,St Albans
377,Brimbank,3022,Ardeer
378,Brimbank,3023,Cairnlea
379,Brimbank,3023,Deer Park
380,Brimbank,3026,Derrimut
381,Brimbank,3033,Keilor East
382,Brimbank,3036,Keilor
383,Brimbank,3036,Keilor North
384,Brimbank,3037,Calder Park
385,Brimbank,3037,Delahey
386,Brimbank,3037,Hillside
387,Brimbank,3037,Sydenham
388,Brimbank,3038,Keilor Downs
389,Brimbank,3038,Keilor Lodge
390,Brimbank,3038,Taylors Lakes
391,Brimbank,3042,Keilor Park
392,Brimbank,3043,Tullamarine
393,Buloke,3395,Reedy Dam
394,Buloke,3477,Coonooer Bridge
395,Buloke,3478,Dooboobetic
396,Buloke,3480,Carron
397,Buloke,3480,Cope Cope
398,Buloke,3480,Corack
399,Buloke,3480,Corack East
400,Buloke,3480,Donald
401,Buloke,3480,Gil Gil
402,Buloke,3480,Jeffcott
403,Buloke,3480,Jeffcott North
404,Buloke,3480,Laen East
405,Buloke,3480,Laen North
406,Buloke,3480,Lawler
407,Buloke,3480,Litchfield
408,Buloke,3482,Massey
409,Buloke,3482,Morton Plains
410,Buloke,3482,Watchem
411,Buloke,3482,Watchem West
412,Buloke,3483,Birchip
413,Buloke,3483,Birchip West
414,Buloke,3483,Curyo
415,Buloke,3483,Jil Jil
416,Buloke,3483,Karyrie
417,Buloke,3483,Kinnabulla
418,Buloke,3483,Marlbed
419,Buloke,3483,Narraport
420,Buloke,3483,Whirily
421,Buloke,3485,Banyan
422,Buloke,3485,Watchupga
423,Buloke,3485,Willangie
424,Buloke,3488,Turriff East
425,Buloke,3518,Nine Mile
426,Buloke,3518,Woosang
427,Buloke,3525,Barrakee
428,Buloke,3525,Buckrabanyule
429,Buloke,3525,Charlton
430,Buloke,3525,Nareewillock
431,Buloke,3525,Wooroonook
432,Buloke,3525,Yeungroon
433,Buloke,3525,Yeungroon East
434,Buloke,3527,Bunguluke
435,Buloke,3527,Dumosa
436,Buloke,3527,Glenloth
437,Buloke,3527,Glenloth East
438,Buloke,3527,Teddywaddy
439,Buloke,3527,Teddywaddy West
440,Buloke,3527,Thalia
441,Buloke,3527,Towaninny South
442,Buloke,3527,Wycheproof
443,Buloke,3527,Wycheproof South
444,Buloke,3529,Kalpienung
445,Buloke,3529,Nullawil
446,Buloke,3530,Cokum
447,Buloke,3530,Culgoa
448,Buloke,3530,Sutton
449,Buloke,3531,Berriwillock
450,Buloke,3531,Boigbeat
451,Buloke,3533,Bimbourie
452,Buloke,3533,Lake Tyrrell
453,Buloke,3533,Myall
454,Buloke,3533,Nandaly
455,Buloke,3533,Ninda
456,Buloke,3533,Nyarrin
457,Buloke,3533,Pier Milan
458,Buloke,3533,Sea Lake
459,Buloke,3533,Tyrrell Downs
460,Campaspe,3523,Redcastle
461,Campaspe,3551,Cornella
462,Campaspe,3551,Creek View
463,Campaspe,3551,Myola
464,Campaspe,3551,Toolleen
465,Campaspe,3557,Muskerry
466,Campaspe,3558,Burnewang
467,Campaspe,3558,Runnymede
468,Campaspe,3559,Burramboot
469,Campaspe,3559,Colbinabbin
470,Campaspe,3559,Corop
471,Campaspe,3559,Gobarup
472,Campaspe,3561,Ballendella
473,Campaspe,3561,Bamawm
474,Campaspe,3561,Bonn
475,Campaspe,3561,Diggora
476,Campaspe,3561,Fairy Dell
477,Campaspe,3561,Nanneella
478,Campaspe,3561,Rochester
479,Campaspe,3561,Timmering
480,Campaspe,3562,Torrumbarry
481,Campaspe,3563,Lockington
482,Campaspe,3564,Bamawm Extension
483,Campaspe,3564,Echuca
484,Campaspe,3564,Echuca Village
485,Campaspe,3564,Echuca West
486,Campaspe,3564,Kanyapella
487,Campaspe,3564,Patho
488,Campaspe,3564,Roslynmead
489,Campaspe,3564,Wharparilla
490,Campaspe,3565,Kotta
491,Campaspe,3566,Gunbower
492,Campaspe,3572,Milloo
493,Campaspe,3572,Tennyson
494,Campaspe,3573,Mitiamo
495,Campaspe,3573,Pine Grove
496,Campaspe,3573,Terrick Terrick East
497,Campaspe,3612,Moora
498,Campaspe,3612,Rushworth
499,Campaspe,3612,Waranga Shores
500,Campaspe,3612,Whroo
501,Campaspe,3620,Kyabram
502,Campaspe,3620,Lancaster
503,Campaspe,3620,Wyuna
504,Campaspe,3620,Wyuna East
505,Campaspe,3621,Kyvalley
506,Campaspe,3621,Tongala
507,Campaspe,3621,Yambuna
508,Campaspe,3622,Koyuga
509,Campaspe,3622,Strathallan
510,Campaspe,3623,Carag Carag
511,Campaspe,3623,Stanhope
512,Campaspe,3624,Girgarre
513,Cardinia,3159,Menzies Creek
514,Cardinia,3781,Cockatoo
515,Cardinia,3781,Mount Burnett
516,Cardinia,3781,Nangana
517,Cardinia,3782,Avonsleigh
518,Cardinia,3782,Clematis
519,Cardinia,3782,Emerald
520,Cardinia,3783,Gembrook
521,Cardinia,3807,Beaconsfield
522,Cardinia,3807,Guys Hill
523,Cardinia,3808,Beaconsfield Upper
524,Cardinia,3808,Dewhurst
525,Cardinia,3809,Officer
526,Cardinia,3809,Officer South
527,Cardinia,3810,Pakenham
528,Cardinia,3810,Pakenham South
529,Cardinia,3810,Pakenham Upper
530,Cardinia,3810,Rythdale
531,Cardinia,3812,Maryknoll
532,Cardinia,3812,Nar Nar Goon
533,Cardinia,3812,Nar Nar Goon North
534,Cardinia,3813,Tynong
535,Cardinia,3813,Tynong North
536,Cardinia,3814,Cora Lynn
537,Cardinia,3814,Garfield
538,Cardinia,3814,Garfield North
539,Cardinia,3814,Vervale
540,Cardinia,3815,Bunyip
541,Cardinia,3815,Bunyip North
542,Cardinia,3815,Iona
543,Cardinia,3815,Tonimbuk
544,Cardinia,3816,Longwarry
545,Cardinia,3816,Modella
546,Cardinia,3978,Cardinia
547,Cardinia,3980,Tooradin
548,Cardinia,3981,Bayles
549,Cardinia,3981,Catani
550,Cardinia,3981,Dalmore
551,Cardinia,3981,Heath Hill
552,Cardinia,3981,Koo Wee Rup
553,Cardinia,3981,Koo Wee Rup North
554,Cardinia,3981,Yannathan
555,Cardinia,3984,Caldermeade
556,Cardinia,3984,Lang Lang
557,Cardinia,3984,Lang Lang East
558,Cardinia,3984,Monomeith
559,Cardinia,3987,Nyora
560,Casey,3156,Lysterfield South
561,Casey,3177,Doveton
562,Casey,3177,Eumemmerring
563,Casey,3802,Endeavour Hills
564,Casey,3803,Endeavour Hills
565,Casey,3803,Hallam
566,Casey,3804,Narre Warren North
567,Casey,3805,Narre Warren
568,Casey,3805,Narre Warren South
569,Casey,3806,Berwick
570,Casey,3806,Harkaway
571,Casey,3807,Beaconsfield
572,Casey,3912,Pearcedale
573,Casey,3975,Lynbrook
574,Casey,3975,Lyndhurst
575,Casey,3976,Hampton Park
576,Casey,3977,Botanic Ridge
577,Casey,3977,Cannons Creek
578,Casey,3977,Cranbourne
579,Casey,3977,Cranbourne East
580,Casey,3977,Cranbourne North
581,Casey,3977,Cranbourne South
582,Casey,3977,Cranbourne West
583,Casey,3977,Devon Meadows
584,Casey,3977,Junction Village
585,Casey,3978,Clyde
586,Casey,3978,Clyde North
587,Casey,3980,Blind Bight
588,Casey,3980,Tooradin
589,Casey,3980,Warneet
590,Central Goldfields,3364,Campbelltown
591,Central Goldfields,3364,Joyces Creek
592,Central Goldfields,3364,Strathlea
593,Central Goldfields,3370,Mount Cameron
594,Central Goldfields,3371,Amherst
595,Central Goldfields,3371,Caralulup
596,Central Goldfields,3371,Dunach
597,Central Goldfields,3371,Lillicur
598,Central Goldfields,3371,Mount Glasgow
599,Central Goldfields,3371,Red Lion
600,Central Goldfields,3371,Stony Creek
601,Central Goldfields,3371,Talbot
602,Central Goldfields,3464,Carisbrook
603,Central Goldfields,3465,Adelaide Lead
604,Central Goldfields,3465,Alma
605,Central Goldfields,3465,Bowenvale
606,Central Goldfields,3465,Bung Bong
607,Central Goldfields,3465,Cotswold
608,Central Goldfields,3465,Craigie
609,Central Goldfields,3465,Daisy Hill
610,Central Goldfields,3465,Flagstaff
611,Central Goldfields,3465,Havelock
612,Central Goldfields,3465,Majorca
613,Central Goldfields,3465,Maryborough
614,Central Goldfields,3465,Moolort
615,Central Goldfields,3465,Moonlight Flat
616,Central Goldfields,3465,Simson
617,Central Goldfields,3465,Timor
618,Central Goldfields,3465,Timor West
619,Central Goldfields,3465,Wareek
620,Central Goldfields,3472,Bet Bet
621,Central Goldfields,3472,Betley
622,Central Goldfields,3472,Bromley
623,Central Goldfields,3472,Dunluce
624,Central Goldfields,3472,Dunolly
625,Central Goldfields,3472,Eddington
626,Central Goldfields,3472,Goldsborough
627,Central Goldfields,3472,Moliagul
628,Central Goldfields,3472,Mount Hooghly
629,Central Goldfields,3475,Archdale
630,Central Goldfields,3475,Archdale Junction
631,Central Goldfields,3475,Bealiba
632,Colac-Otway,3233,Apollo Bay
633,Colac-Otway,3233,Cape Otway
634,Colac-Otway,3233,Marengo
635,Colac-Otway,3233,Skenes Creek
636,Colac-Otway,3233,Skenes Creek North
637,Colac-Otway,3234,Grey River
638,Colac-Otway,3234,Kennett River
639,Colac-Otway,3234,Separation Creek
640,Colac-Otway,3234,Sugarloaf
641,Colac-Otway,3234,Wongarra
642,Colac-Otway,3234,Wye River
643,Colac-Otway,3236,Forrest
644,Colac-Otway,3236,Mount Sabine
645,Colac-Otway,3237,Beech Forest
646,Colac-Otway,3237,Ferguson
647,Colac-Otway,3237,Weeaproinah
648,Colac-Otway,3237,Wyelangta
649,Colac-Otway,3237,Yuulong
650,Colac-Otway,3238,Glenaire
651,Colac-Otway,3238,Hordern Vale
652,Colac-Otway,3238,Johanna
653,Colac-Otway,3238,Lavers Hill
654,Colac-Otway,3239,Carlisle River
655,Colac-Otway,3239,Chapple Vale
656,Colac-Otway,3239,Gellibrand
657,Colac-Otway,3241,Ombersley
658,Colac-Otway,3242,Birregurra
659,Colac-Otway,3243,Barwon Downs
660,Colac-Otway,3243,Murroon
661,Colac-Otway,3243,Warncoort
662,Colac-Otway,3243,Whoorel
663,Colac-Otway,3249,Alvie
664,Colac-Otway,3249,Balintore
665,Colac-Otway,3249,Barongarook
666,Colac-Otway,3249,Barongarook West
667,Colac-Otway,3249,Barramunga
668,Colac-Otway,3249,Coragulac
669,Colac-Otway,3249,Corunnun
670,Colac-Otway,3249,Dreeite
671,Colac-Otway,3249,Dreeite South
672,Colac-Otway,3249,Gerangamete
673,Colac-Otway,3249,Irrewarra
674,Colac-Otway,3249,Irrewillipe
675,Colac-Otway,3249,Irrewillipe East
676,Colac-Otway,3249,Kawarren
677,Colac-Otway,3249,Larpent
678,Colac-Otway,3249,Nalangil
679,Colac-Otway,3249,Ondit
680,Colac-Otway,3249,Pirron Yallock
681,Colac-Otway,3249,Swan Marsh
682,Colac-Otway,3249,Tanybryn
683,Colac-Otway,3249,Warrion
684,Colac-Otway,3249,Wool Wool
685,Colac-Otway,3249,Yeo
686,Colac-Otway,3249,Yeodene
687,Colac-Otway,3250,Colac
688,Colac-Otway,3250,Colac East
689,Colac-Otway,3250,Colac West
690,Colac-Otway,3250,Elliminyt
691,Colac-Otway,3251,Beeac
692,Colac-Otway,3251,Cundare
693,Colac-Otway,3251,Cundare North
694,Colac-Otway,3251,Eurack
695,Colac-Otway,3251,Weering
696,Colac-Otway,3254,Cororooke
697,Colac-Otway,3260,Bungador
698,Colac-Otway,3260,Stonyford
699,Colac-Otway,3266,Jancourt East
700,Colac-Otway,3321,Wingeel
701,Colac-Otway,3322,Cressy
702,Colac-Otway,3329,Barunah Plains
703,Corangamite,3237,Gellibrand Lower
704,Corangamite,3237,Wattle Hill
705,Corangamite,3239,Chapple Vale
706,Corangamite,3239,Kennedys Creek
707,Corangamite,3249,Pirron Yallock
708,Corangamite,3249,Pomborneit East
709,Corangamite,3260,Bookaar
710,Corangamite,3260,Bostocks Creek
711,Corangamite,3260,Camperdown
712,Corangamite,3260,Carpendeit
713,Corangamite,3260,Chocolyn
714,Corangamite,3260,Gnotuk
715,Corangamite,3260,Kariah
716,Corangamite,3260,Koallah
717,Corangamite,3260,Leslie Manor
718,Corangamite,3260,Pomborneit
719,Corangamite,3260,Pomborneit North
720,Corangamite,3260,Skibo
721,Corangamite,3260,South Purrumbete
722,Corangamite,3260,Stonyford
723,Corangamite,3260,Tandarook
724,Corangamite,3260,Tesbury
725,Corangamite,3260,Weerite
726,Corangamite,3264,Terang
727,Corangamite,3265,Boorcan
728,Corangamite,3265,Dixie
729,Corangamite,3265,Ecklin South
730,Corangamite,3265,Garvoc
731,Corangamite,3265,Glenormiston North
732,Corangamite,3265,Glenormiston South
733,Corangamite,3265,Kolora
734,Corangamite,3265,Noorat
735,Corangamite,3265,Noorat East
736,Corangamite,3265,Taroon
737,Corangamite,3266,Bullaharre
738,Corangamite,3266,Cobden
739,Corangamite,3266,Cobrico
740,Corangamite,3266,Elingamite
741,Corangamite,3266,Elingamite North
742,Corangamite,3266,Glenfyne
743,Corangamite,3266,Jancourt
744,Corangamite,3266,Jancourt East
745,Corangamite,3266,Naroghid
746,Corangamite,3266,Simpson
747,Corangamite,3267,Scotts Creek
748,Corangamite,3268,Ayrford
749,Corangamite,3268,Brucknell
750,Corangamite,3268,Cooriemungle
751,Corangamite,3268,Cowleys Creek
752,Corangamite,3268,Curdies River
753,Corangamite,3268,Curdievale
754,Corangamite,3268,Heytesbury Lower
755,Corangamite,3268,Newfield
756,Corangamite,3268,Paaratte
757,Corangamite,3268,Timboon
758,Corangamite,3268,Timboon West
759,Corangamite,3269,Port Campbell
760,Corangamite,3269,Princetown
761,Corangamite,3269,Waarre
762,Corangamite,3270,Peterborough
763,Corangamite,3271,Darlington
764,Corangamite,3322,Cressy
765,Corangamite,3323,Berrybank
766,Corangamite,3323,Duverney
767,Corangamite,3323,Foxhow
768,Corangamite,3324,Lismore
769,Corangamite,3324,Mingay
770,Corangamite,3324,Mount Bute
771,Corangamite,3325,Derrinallum
772,Corangamite,3325,Vite Vite
773,Corangamite,3325,Vite Vite North
774,Corangamite,3352,Werneth
775,Corangamite,3361,Bradvale
776,Corangamite,3361,Skipton
777,Darebin,3070,Northcote
778,Darebin,3071,Thornbury
779,Darebin,3072,Preston
780,Darebin,3073,Reservoir
781,Darebin,3078,Alphington
782,Darebin,3078,Fairfield
783,Darebin,3083,Bundoora
784,Darebin,3083,Kingsbury
785,Darebin,3085,Macleod
786,East Gippsland,3701,Dartmouth
787,East Gippsland,3701,Mitta Mitta
788,East Gippsland,3862,Cobbannah
789,East Gippsland,3864,Fernbank
790,East Gippsland,3864,Glenaladale
791,East Gippsland,3865,Lindenow
792,East Gippsland,3875,Bairnsdale
793,East Gippsland,3875,Bengworden
794,East Gippsland,3875,Bullumwaal
795,East Gippsland,3875,Calulu
