Year,LGAID,LSID,Offence Count
2020,25,2,3068
2020,25,3,6054
2020,26,0,12596
2020,26,1,1199
2020,26,2,1917
2020,26,3,7249
2020,27,0,5674
2020,27,1,668
2020,27,2,733
2020,27,3,2085
2020,28,0,294
2020,28,1,43
2020,28,2,76
2020,28,3,300
2020,29,0,433
2020,29,1,30
2020,29,2,36
2020,29,3,91
2020,30,0,2656
2020,30,1,354
2020,30,2,870
2020,30,3,1945
2020,31,0,1730
2020,31,1,168
2020,31,2,272
2020,31,3,309
2020,32,0,10963
2020,32,1,1771
2020,32,2,3359
2020,32,3,5899
2020,33,0,259
2020,33,1,29
2020,33,2,92
2020,33,3,195
2020,35,0,5307
2020,35,1,941
2020,35,2,1392
2020,35,3,3991
2020,36,0,5791
2020,36,1,830
2020,36,2,1276
2020,36,3,4089
2020,37,0,8172
2020,37,1,1146
2020,37,2,1194
2020,37,3,3116
2020,38,0,283
2020,38,1,43
2020,38,2,66
2020,38,3,140
2020,39,0,1546
2020,39,1,137
2020,39,2,431
2020,39,3,620
2020,40,0,2182
2020,40,1,363
2020,40,2,483
2020,40,3,1809
2020,41,0,275
2020,41,1,26
2020,41,2,91
2020,41,3,120
2020,42,0,3741
2020,42,1,341
2020,42,2,1103
2020,42,3,3971
2020,43,0,4304
2020,43,1,638
2020,43,2,842
2020,43,3,2226
2020,44,0,17918
2020,44,1,1362
2020,44,2,7086
2020,44,3,10136
2020,45,0,7634
2020,45,1,795
2020,45,2,1354
2020,45,3,4570
2020,46,0,5624
2020,46,1,1009
2020,46,2,1480
2020,46,3,5655
2020,47,0,3896
2020,47,1,407
2020,47,2,855
2020,47,3,1414
2020,48,0,3392
2020,48,1,473
2020,48,2,519
2020,48,3,951
2020,49,0,1354
2020,49,1,116
2020,49,2,243
2020,49,3,557
2020,50,0,5367
2020,50,1,809
2020,50,2,1505
2020,50,3,5145
2020,51,0,3457
2020,51,1,632
2020,51,2,1164
2020,51,3,3150
2020,52,0,1278
2020,52,1,145
2020,52,2,453
2020,52,3,814
2020,53,0,5692
2020,53,1,851
2020,53,2,1839
2020,53,3,2949
2020,54,0,510
2020,54,1,53
2020,54,2,120
2020,54,3,269
2020,55,0,322
2020,55,1,60
2020,55,2,99
2020,55,3,191
2020,56,0,400
2020,56,1,71
2020,56,2,167
2020,56,3,257
2020,57,0,1105
2020,57,1,240
2020,57,2,217
2020,57,3,724
2020,58,0,680
2020,58,1,78
2020,58,2,217
2020,58,3,217
2020,59,0,5921
2020,59,1,726
2020,59,2,1860
2020,59,3,5067
2020,60,0,247
2020,60,1,33
2020,60,2,53
2020,60,3,182
2020,61,0,36
2020,61,1,6
2020,61,2,13
2020,61,3,67
2020,62,0,991
2020,62,1,199
2020,62,2,143
2020,62,3,410
2020,63,0,723
2020,63,1,59
2020,63,2,175
2020,63,3,203
2020,64,0,4559
2020,64,1,685
2020,64,2,1705
2020,64,3,4640
2020,65,0,280
2020,65,1,82
2020,65,2,54
2020,65,3,201
2020,66,0,652
2020,66,1,92
2020,66,2,197
2020,66,3,573
2020,67,0,1504
2020,67,1,189
2020,67,2,405
2020,67,3,393
2020,68,0,119
2020,68,1,13
2020,68,2,23
2020,68,3,64
2020,70,0,2143
2020,70,1,195
2020,70,2,349
